dataset,task,class,feature,coefficient_mean,coefficient_sd,fold_selection_frequency,n_fold_models,seed_selection_frequency,bootstrap_coefficient_mean,bootstrap_coefficient_sd,ci_low,ci_high,n_bootstrap_fits,bootstrap_selection_frequency,direction,bootstrap_ci_direction
BC-Jackson2020,response,1,patch_max_composition__B cell,0.19414801351046357,0.1698639302893003,0.8,15,1.0,0.33288812657111405,0.4832516460591663,-0.15700782140962521,1.5953210180316286,3000,0.6526666666666666,positive,crosses zero
BC-Jackson2020,response,1,patch_max_composition__Endothelial,0.8169982757797628,0.1289009789961601,1.0,15,1.0,0.863684020187078,0.521425661050797,0.0,1.9252141030139063,3000,0.9336666666666666,positive,crosses zero
BC-Jackson2020,response,1,patch_max_composition__Macrophage,0.014117383157297828,0.03879949384956875,0.13333333333333333,15,0.0,-0.03564425626030991,0.3331321513961679,-0.8166580687770469,0.6795839131511128,3000,0.49966666666666665,positive,crosses zero
BC-Jackson2020,response,1,patch_max_composition__Stroma (Fibronectin hi),-0.18900906106618404,0.14699141325392379,0.8666666666666667,15,1.0,-0.25041758181573937,0.3472937855981102,-1.0945793122408305,0.10101934939932886,3000,0.5956666666666667,negative,crosses zero
BC-Jackson2020,response,1,patch_max_composition__Stroma (Large elongated),-0.0993338328025079,0.17261293454353296,0.4,15,0.3333333333333333,-0.25096197546115073,0.3574776045207328,-1.1165450618432977,0.06175665368276391,3000,0.5466666666666666,negative,crosses zero
BC-Jackson2020,response,1,patch_max_composition__Stroma (SMA hi Vimentin hi),0.0252758677225996,0.0812540385654035,0.2,15,0.0,0.08926050428007286,0.30012948102143644,-0.4356417138420614,0.8879644624841929,3000,0.4033333333333333,positive,crosses zero
BC-Jackson2020,response,1,patch_max_composition__Stroma (Small circular),0.2821445075859943,0.24458502546211117,0.8666666666666667,15,1.0,0.3399571928377355,0.4339949037441248,-0.06044399408991638,1.445441522076377,3000,0.6386666666666667,positive,crosses zero
BC-Jackson2020,response,1,patch_max_composition__Stroma (Small elongated),0.22468051739049036,0.23809075210452868,0.7333333333333333,15,1.0,0.29992451539500625,0.40417077922328426,-0.11677714094161609,1.3189603206148235,3000,0.6323333333333333,positive,crosses zero
BC-Jackson2020,response,1,patch_max_composition__Stroma (Vimentin hi),0.3981469128169033,0.31705068736400466,0.8666666666666667,15,1.0,0.26441445677776154,0.4634644061567017,0.0,1.5516307882619562,3000,0.441,positive,crosses zero
BC-Jackson2020,response,1,patch_max_composition__T & B cells,0.012575889882309494,0.03360540168441111,0.13333333333333333,15,0.0,0.03162558942128612,0.265934093429108,-0.4570994173824243,0.8520601115799011,3000,0.328,positive,crosses zero
BC-Jackson2020,response,1,patch_max_composition__T cell,-0.0015159753364255577,0.005871347231237371,0.06666666666666667,15,0.0,0.028821753427690732,0.24539024130125583,-0.49071501206269197,0.7307430229944748,3000,0.314,negative,crosses zero
BC-Jackson2020,response,1,patch_max_composition__Tumor (Apoptotic),-0.04944660395732941,0.10130550700593333,0.26666666666666666,15,0.0,-0.09470003076466445,0.3087558198744808,-0.991226240747752,0.4265234774554382,3000,0.384,negative,crosses zero
BC-Jackson2020,response,1,patch_max_composition__Tumor (Basal CK),-0.015085377606498755,0.03766520363660908,0.26666666666666666,15,0.0,-0.04802096005575303,0.2876811966589881,-0.7046393719035914,0.565541481606774,3000,0.5416666666666666,negative,crosses zero
BC-Jackson2020,response,1,patch_max_composition__Tumor (CK lo HR hi p53+),-0.35406176388049704,0.2483371653458252,0.8666666666666667,15,1.0,-0.37014173901856723,0.4347808671029949,-1.4453167965604126,0.0,3000,0.6856666666666666,negative,crosses zero
BC-Jackson2020,response,1,patch_max_composition__Tumor (CK lo HR lo),-0.2831019423004468,0.23503135987138635,0.9333333333333333,15,1.0,-0.29247086844008535,0.3924349586832053,-1.3504445277953125,0.0,3000,0.5643333333333334,negative,crosses zero
BC-Jackson2020,response,1,patch_max_composition__Tumor (CK+ HR hi),0.038538141490917874,0.05651043819506113,0.4,15,0.0,0.054189292588212555,0.25002243052764656,-0.4769744349401171,0.661385928160236,3000,0.4623333333333333,positive,crosses zero
BC-Jackson2020,response,1,patch_max_composition__Tumor (CK+ HR lo),0.042678318979587244,0.15745709097643093,0.26666666666666666,15,0.3333333333333333,0.03492150689653235,0.32837165604736357,-0.6824032388280732,0.8813433832235653,3000,0.367,positive,crosses zero
BC-Jackson2020,response,1,patch_max_composition__Tumor (CK+ HR+),0.11740610272935967,0.15126707670780018,0.5333333333333333,15,0.6666666666666666,0.13365754862702448,0.2455521192489281,0.0,0.8590019561089763,3000,0.37566666666666665,positive,crosses zero
BC-Jackson2020,response,1,patch_max_composition__Tumor (CK7+ CK hi Ecadh hi),-0.018011887112116206,0.054472026879915474,0.2,15,0.0,-0.10174519866605346,0.2739771116544811,-0.7862439742819405,0.3639174760872569,3000,0.44266666666666665,negative,crosses zero
BC-Jackson2020,response,1,patch_max_composition__Tumor (CK7+),0.5832615079450254,0.2589416628989869,1.0,15,1.0,0.6373162978681679,0.5338889357453179,0.0,1.7818424672270285,3000,0.831,positive,crosses zero
BC-Jackson2020,response,1,patch_max_composition__Tumor (Epithelial low),-0.14869069309108968,0.1732953113741207,0.6,15,1.0,-0.20777794704386926,0.35493467209819846,-1.1752684540505065,0.12203743575404592,3000,0.5116666666666667,negative,crosses zero
BC-Jackson2020,response,1,patch_max_composition__Tumor (Hypoxic),-0.6637846298563886,0.20090827430767272,1.0,15,1.0,-0.6500795955055123,0.4943965975064634,-1.8244787610995659,0.0,3000,0.8816666666666667,negative,crosses zero
BC-Jackson2020,response,1,patch_max_composition__Tumor (Myoepithelial),-0.11841338227950247,0.1451037752388504,0.6666666666666666,15,1.0,-0.2207574178212774,0.3526099652088476,-1.1054433913041193,0.2718689202791933,3000,0.5826666666666667,negative,crosses zero
BC-Jackson2020,response,1,patch_max_composition__Tumor (Proliferative),0.0043670164560892935,0.021934232021662742,0.13333333333333333,15,0.0,0.02643754990437447,0.2503730483923036,-0.4902155763146783,0.7358753454309679,3000,0.36466666666666664,positive,crosses zero
BC-Jackson2020,response,1,patch_max_composition__Tumor (p53+ EGFR+),-0.2744292540741174,0.1944743186228047,0.8666666666666667,15,1.0,-0.2549456668125128,0.35754911498367126,-1.1024446552212823,0.1254038834044807,3000,0.607,negative,crosses zero
BC-Jackson2020,response,1,patch_mean_composition__B cell,0.0,0.0,0.0,15,0.0,-0.013150705696159313,0.10399156479387844,-0.2787382408211831,0.008066754075741844,3000,0.08433333333333333,not selected,crosses zero
BC-Jackson2020,response,1,patch_mean_composition__Endothelial,0.0,0.0,0.0,15,0.0,-0.005047667059311691,0.0608068063706965,-0.03704686761802198,0.0,3000,0.038,not selected,crosses zero
BC-Jackson2020,response,1,patch_mean_composition__Macrophage,-0.003214327330413594,0.012449036219951195,0.06666666666666667,15,0.0,-0.00668753773082359,0.05529380654442378,-0.06859144115330564,0.0,3000,0.037333333333333336,negative,crosses zero
BC-Jackson2020,response,1,patch_mean_composition__Stroma (Fibronectin hi),0.0,0.0,0.0,15,0.0,-0.002156088751915758,0.024363498558872213,0.0,0.0,3000,0.015666666666666666,not selected,crosses zero
BC-Jackson2020,response,1,patch_mean_composition__Stroma (Large elongated),-0.0157584162791469,0.035506153135655645,0.2,15,0.0,-0.16535997235198646,0.299026781631861,-0.9823404143052404,0.12073281406400758,3000,0.48433333333333334,negative,crosses zero
BC-Jackson2020,response,1,patch_mean_composition__Stroma (SMA hi Vimentin hi),0.17914701247930906,0.318663910864623,0.6666666666666666,15,1.0,0.19574389547204626,0.36897013538188056,0.0,1.242580364870143,3000,0.388,positive,crosses zero
BC-Jackson2020,response,1,patch_mean_composition__Stroma (Small circular),0.0,0.0,0.0,15,0.0,0.005745965796579238,0.05084932491030307,0.0,0.07976822120002888,3000,0.043,not selected,crosses zero
BC-Jackson2020,response,1,patch_mean_composition__Stroma (Small elongated),0.0,0.0,0.0,15,0.0,0.004125865019634775,0.040833806134662365,0.0,0.06662266091134608,3000,0.04533333333333334,not selected,crosses zero
BC-Jackson2020,response,1,patch_mean_composition__Stroma (Vimentin hi),0.0,0.0,0.0,15,0.0,0.0023595662618348012,0.028287773730471644,0.0,0.0,3000,0.018333333333333333,not selected,crosses zero
BC-Jackson2020,response,1,patch_mean_composition__T & B cells,-0.15202910430714806,0.1525329353384953,0.8666666666666667,15,1.0,-0.20370147769954053,0.32845041311251044,-1.1282818197654028,0.0,3000,0.5143333333333333,negative,crosses zero
BC-Jackson2020,response,1,patch_mean_composition__T cell,0.0,0.0,0.0,15,0.0,0.0005929457727441818,0.025016738995161235,0.0,0.0,3000,0.014333333333333333,not selected,crosses zero
BC-Jackson2020,response,1,patch_mean_composition__Tumor (Apoptotic),0.0,0.0,0.0,15,0.0,0.013325080090953113,0.08856268083941396,0.0,0.24726812254759725,3000,0.08533333333333333,not selected,crosses zero
BC-Jackson2020,response,1,patch_mean_composition__Tumor (Basal CK),0.0,0.0,0.0,15,0.0,0.00146364992717235,0.06672225570234505,-0.009877974169183144,0.09613341687190893,3000,0.06533333333333333,not selected,crosses zero
BC-Jackson2020,response,1,patch_mean_composition__Tumor (CK lo HR hi p53+),-0.00697769185171125,0.020133739215726094,0.13333333333333333,15,0.0,-0.014552495640936329,0.09754497653960736,-0.23971094000747398,0.0,3000,0.12733333333333333,negative,crosses zero
BC-Jackson2020,response,1,patch_mean_composition__Tumor (CK lo HR lo),0.0,0.0,0.0,15,0.0,-0.01007147029871839,0.06028832069875035,-0.1524564336884445,0.0,3000,0.05566666666666667,not selected,crosses zero
BC-Jackson2020,response,1,patch_mean_composition__Tumor (CK+ HR hi),0.0,0.0,0.0,15,0.0,0.00033158224821730866,0.02233939921621754,0.0,0.0,3000,0.022333333333333334,not selected,crosses zero
BC-Jackson2020,response,1,patch_mean_composition__Tumor (CK+ HR lo),0.0,0.0,0.0,15,0.0,0.009451145151391449,0.05795757458755652,0.0,0.14777521508011193,3000,0.05433333333333333,not selected,crosses zero
BC-Jackson2020,response,1,patch_mean_composition__Tumor (CK+ HR+),0.0,0.0,0.0,15,0.0,-0.0005710712015354728,0.015096062057334906,0.0,0.0,3000,0.014666666666666666,not selected,crosses zero
BC-Jackson2020,response,1,patch_mean_composition__Tumor (CK7+ CK hi Ecadh hi),0.0,0.0,0.0,15,0.0,0.0051017921187943615,0.036123719346901326,0.0,0.07075619392129602,3000,0.04,not selected,crosses zero
BC-Jackson2020,response,1,patch_mean_composition__Tumor (CK7+),-0.002035389284530678,0.007883028802036346,0.06666666666666667,15,0.0,-0.0032532754035869125,0.05825321733316183,-0.03172875841344446,0.0,3000,0.049666666666666665,negative,crosses zero
BC-Jackson2020,response,1,patch_mean_composition__Tumor (Epithelial low),0.0,0.0,0.0,15,0.0,-0.007278697034989908,0.06371528160159237,-0.07054446387721115,0.0,3000,0.04633333333333333,not selected,crosses zero
BC-Jackson2020,response,1,patch_mean_composition__Tumor (Hypoxic),0.0,0.0,0.0,15,0.0,-0.008022209954613868,0.05458541011977636,-0.10010222625314413,0.0,3000,0.05,not selected,crosses zero
BC-Jackson2020,response,1,patch_mean_composition__Tumor (Myoepithelial),0.01062365919184031,0.02805860109301054,0.2,15,0.0,0.023579224490346894,0.09280467393209782,0.0,0.32987544172163796,3000,0.10966666666666666,positive,crosses zero
BC-Jackson2020,response,1,patch_mean_composition__Tumor (Proliferative),0.009175326328583536,0.035535886066622474,0.06666666666666667,15,0.0,0.0065767951949327,0.07453117570822276,0.0,0.12342799180505204,3000,0.06333333333333334,positive,crosses zero
BC-Jackson2020,response,1,patch_mean_composition__Tumor (p53+ EGFR+),-0.0007368008434709468,0.0028536173962345544,0.06666666666666667,15,0.0,0.010382516256562769,0.13229932853015727,-0.12972263704924208,0.34393438174061586,3000,0.11666666666666667,negative,crosses zero
BC-Jackson2020,response,1,patch_quantile_0.25_composition__B cell,0.22905750466141578,0.15456854269684858,0.7333333333333333,15,1.0,0.16492185640755372,0.24292520171730175,0.0,0.8224356788005943,3000,0.43466666666666665,positive,crosses zero
BC-Jackson2020,response,1,patch_quantile_0.25_composition__Endothelial,0.17871916868375431,0.21646253023365603,0.6,15,0.6666666666666666,0.21818611883881422,0.3933756709630552,-0.31393655055051367,1.2223547916841029,3000,0.519,positive,crosses zero
BC-Jackson2020,response,1,patch_quantile_0.25_composition__Macrophage,0.49357287229997054,0.15789125747842375,1.0,15,1.0,0.4894055666853054,0.4318456555490172,0.0,1.4809364453709966,3000,0.8306666666666667,positive,crosses zero
BC-Jackson2020,response,1,patch_quantile_0.25_composition__Stroma (Fibronectin hi),0.0011539018377570264,0.07224394645539076,0.13333333333333333,15,0.0,-0.01930279011117513,0.2842002647786349,-0.683137959250609,0.6700105710899737,3000,0.4216666666666667,positive,crosses zero
BC-Jackson2020,response,1,patch_quantile_0.25_composition__Stroma (Large elongated),0.0,0.0,0.0,15,0.0,0.0,0.0,0.0,0.0,3000,0.0,not selected,crosses zero
BC-Jackson2020,response,1,patch_quantile_0.25_composition__Stroma (SMA hi Vimentin hi),-0.034392979198436646,0.13320343566200324,0.06666666666666667,15,0.0,-0.02895489034095658,0.137292964363384,-0.4620561087302371,0.0,3000,0.09866666666666667,negative,crosses zero
BC-Jackson2020,response,1,patch_quantile_0.25_composition__Stroma (Small circular),0.2866987030787511,0.209065693742565,0.8,15,1.0,0.31249251244517356,0.3845692768260284,0.0,1.2832258797442728,3000,0.6456666666666667,positive,crosses zero
BC-Jackson2020,response,1,patch_quantile_0.25_composition__Stroma (Small elongated),0.046331931527930706,0.07832677256655612,0.3333333333333333,15,0.0,0.07435946926678483,0.24781269133205835,-0.38069657792368017,0.7373882888329851,3000,0.398,positive,crosses zero
BC-Jackson2020,response,1,patch_quantile_0.25_composition__Stroma (Vimentin hi),0.4353887653977993,0.2015936368552629,1.0,15,1.0,0.48407425085019723,0.39629795048390715,0.0,1.3397387505614835,3000,0.8363333333333334,positive,crosses zero
BC-Jackson2020,response,1,patch_quantile_0.25_composition__T & B cells,0.0,0.0,0.0,15,0.0,-0.012009508791999104,0.09742104697119162,-0.265886686195685,0.14927499979696834,3000,0.15933333333333333,not selected,crosses zero
BC-Jackson2020,response,1,patch_quantile_0.25_composition__T cell,-0.07057306956856119,0.08915311665385715,0.6,15,0.6666666666666666,-0.14100238235361137,0.3132738662049576,-0.9880547886853422,0.3257230462764975,3000,0.5243333333333333,negative,crosses zero
BC-Jackson2020,response,1,patch_quantile_0.25_composition__Tumor (Apoptotic),0.08585717118646068,0.13244708250864204,0.3333333333333333,15,0.0,0.12721233446294955,0.2350515159087837,0.0,0.7966410457501295,3000,0.37666666666666665,positive,crosses zero
BC-Jackson2020,response,1,patch_quantile_0.25_composition__Tumor (Basal CK),0.15902344572570157,0.16202916515116492,0.8666666666666667,15,1.0,0.19719423756718585,0.31194055625972894,-0.2623590632473576,0.9329100348760704,3000,0.6486666666666666,positive,crosses zero
BC-Jackson2020,response,1,patch_quantile_0.25_composition__Tumor (CK lo HR hi p53+),-0.009192128471049424,0.02155341049702945,0.2,15,0.0,-0.02040232152256675,0.06769232114730594,-0.2536958239704921,0.0,3000,0.129,negative,crosses zero
BC-Jackson2020,response,1,patch_quantile_0.25_composition__Tumor (CK lo HR lo),0.035054946449772396,0.0909216007296353,0.26666666666666666,15,0.3333333333333333,0.01928260951867811,0.2782239474853069,-0.5719622203713761,0.7586421392269925,3000,0.44966666666666666,positive,crosses zero
BC-Jackson2020,response,1,patch_quantile_0.25_composition__Tumor (CK+ HR hi),-0.010205674461482857,0.06068229655966556,0.3333333333333333,15,0.3333333333333333,-0.04599560278072175,0.3282179025095113,-1.0153306874912256,0.5157741171653537,3000,0.552,negative,crosses zero
BC-Jackson2020,response,1,patch_quantile_0.25_composition__Tumor (CK+ HR lo),-0.05968608972592888,0.08268835490282704,0.5333333333333333,15,0.6666666666666666,-0.15062698575532257,0.3069710202564178,-0.8972103432588592,0.3440482532675652,3000,0.5836666666666667,negative,crosses zero
BC-Jackson2020,response,1,patch_quantile_0.25_composition__Tumor (CK+ HR+),-0.09226815153161315,0.21341981591646725,0.4,15,0.0,-0.31213797664874393,0.528407010324758,-1.7670103539736197,0.28607581985899533,3000,0.6333333333333333,negative,crosses zero
BC-Jackson2020,response,1,patch_quantile_0.25_composition__Tumor (CK7+ CK hi Ecadh hi),0.24708450629743214,0.2502602905514091,0.8666666666666667,15,1.0,0.23147217847715687,0.34280605322937174,-0.08116483781590016,1.1147961042720336,3000,0.552,positive,crosses zero
BC-Jackson2020,response,1,patch_quantile_0.25_composition__Tumor (CK7+),-0.06149717291683103,0.11316325721377693,0.6,15,0.6666666666666666,-0.08473790235705356,0.23796217160461863,-0.7535549767361868,0.2341014671932741,3000,0.38066666666666665,negative,crosses zero
BC-Jackson2020,response,1,patch_quantile_0.25_composition__Tumor (Epithelial low),-0.03774627382131547,0.15826186694993558,0.13333333333333333,15,0.0,-0.11178418401405354,0.39026753164794403,-1.246385727677188,0.4919109988400632,3000,0.5013333333333333,negative,crosses zero
BC-Jackson2020,response,1,patch_quantile_0.25_composition__Tumor (Hypoxic),0.0,0.0,0.0,15,0.0,-0.003814388698418743,0.02558780408584048,-0.044201849129625874,0.0,3000,0.037,not selected,crosses zero
BC-Jackson2020,response,1,patch_quantile_0.25_composition__Tumor (Myoepithelial),0.12000803551791778,0.12634882916397294,0.7333333333333333,15,1.0,0.06326431736591592,0.2436036250826085,-0.4809023550346951,0.6644217543554892,3000,0.5263333333333333,positive,crosses zero
BC-Jackson2020,response,1,patch_quantile_0.25_composition__Tumor (Proliferative),-0.05537693059637667,0.14191470670538311,0.6,15,0.6666666666666666,-0.11875295686439104,0.335237070960771,-1.0288817792180869,0.41425940517088805,3000,0.5416666666666666,negative,crosses zero
BC-Jackson2020,response,1,patch_quantile_0.25_composition__Tumor (p53+ EGFR+),0.0,0.0,0.0,15,0.0,0.010558527324249585,0.054454708362026635,0.0,0.1687108927503266,3000,0.058666666666666666,not selected,crosses zero
BC-Jackson2020,response,1,patch_quantile_0.50_composition__B cell,0.0071115734440341085,0.027543005514075028,0.06666666666666667,15,0.0,0.01968883558697863,0.16919136998713982,-0.3842062641429312,0.4323558501021358,3000,0.2693333333333333,positive,crosses zero
BC-Jackson2020,response,1,patch_quantile_0.50_composition__Endothelial,-0.7292207112109552,0.2405974534856722,1.0,15,1.0,-0.6755332454801801,0.48630458974861707,-1.752823245679439,0.0,3000,0.8933333333333333,negative,crosses zero
BC-Jackson2020,response,1,patch_quantile_0.50_composition__Macrophage,-0.010564798894852819,0.028503776572029044,0.13333333333333333,15,0.0,0.01544686477881478,0.251946362565425,-0.5669356740255235,0.666879585731964,3000,0.2733333333333333,negative,crosses zero
BC-Jackson2020,response,1,patch_quantile_0.50_composition__Stroma (Fibronectin hi),0.0,0.0,0.0,15,0.0,-0.0523509114244519,0.20915158208390008,-0.6990790256468785,0.10101505855378123,3000,0.2,not selected,crosses zero
BC-Jackson2020,response,1,patch_quantile_0.50_composition__Stroma (Large elongated),0.0,0.0,0.0,15,0.0,0.0,0.0,0.0,0.0,3000,0.0,not selected,crosses zero
BC-Jackson2020,response,1,patch_quantile_0.50_composition__Stroma (SMA hi Vimentin hi),0.003158050588586119,0.012231077336074567,0.06666666666666667,15,0.0,0.027967914232100207,0.1325072828320908,0.0,0.3843894846944349,3000,0.15233333333333332,positive,crosses zero
BC-Jackson2020,response,1,patch_quantile_0.50_composition__Stroma (Small circular),0.16083664344158113,0.1977976920660092,0.5333333333333333,15,0.3333333333333333,0.18700424629996082,0.3325712689126995,0.0,1.0963834144386755,3000,0.39666666666666667,positive,crosses zero
BC-Jackson2020,response,1,patch_quantile_0.50_composition__Stroma (Small elongated),-0.010171762910487272,0.03939506835388749,0.06666666666666667,15,0.0,-0.011629939306012669,0.1544848889490899,-0.4187677389256022,0.30424969793791073,3000,0.18733333333333332,negative,crosses zero
BC-Jackson2020,response,1,patch_quantile_0.50_composition__Stroma (Vimentin hi),0.01062980020691896,0.041169039174909286,0.06666666666666667,15,0.0,0.04091506950778393,0.13560613266175248,0.0,0.49193416677629803,3000,0.14566666666666667,positive,crosses zero
BC-Jackson2020,response,1,patch_quantile_0.50_composition__T & B cells,-0.12636638490020996,0.14959278037635548,0.6666666666666666,15,0.6666666666666666,-0.14770431666879905,0.25316830157967674,-0.8513738327347414,0.0,3000,0.44766666666666666,negative,crosses zero
BC-Jackson2020,response,1,patch_quantile_0.50_composition__T cell,-0.06436837467868357,0.14085717474343598,0.3333333333333333,15,0.0,-0.05728707565652049,0.23456498061702427,-0.760969200385395,0.30000606344602887,3000,0.29133333333333333,negative,crosses zero
BC-Jackson2020,response,1,patch_quantile_0.50_composition__Tumor (Apoptotic),0.0,0.0,0.0,15,0.0,-0.017014366935388405,0.22665401997235804,-0.7123361675470906,0.3787684315592467,3000,0.17366666666666666,not selected,crosses zero
BC-Jackson2020,response,1,patch_quantile_0.50_composition__Tumor (Basal CK),-0.0011273858763179577,0.004366346723728906,0.06666666666666667,15,0.0,-0.018282024869759737,0.17934215301970066,-0.4825698578301501,0.31894777979141864,3000,0.247,negative,crosses zero
BC-Jackson2020,response,1,patch_quantile_0.50_composition__Tumor (CK lo HR hi p53+),0.0,0.0,0.0,15,0.0,0.03028125124626738,0.1283435223126171,-0.06239032241133029,0.471436099010956,3000,0.15833333333333333,not selected,crosses zero
BC-Jackson2020,response,1,patch_quantile_0.50_composition__Tumor (CK lo HR lo),0.08407081124863976,0.1757248214200681,0.26666666666666666,15,0.0,0.06352082794089958,0.21881504260811546,-0.09548124605762091,0.7033513087944725,3000,0.236,positive,crosses zero
BC-Jackson2020,response,1,patch_quantile_0.50_composition__Tumor (CK+ HR hi),-0.004625344804298342,0.017913883397514485,0.06666666666666667,15,0.0,-0.014514927714135083,0.1717361706266999,-0.43607646991579985,0.35313042939543576,3000,0.24033333333333334,negative,crosses zero
BC-Jackson2020,response,1,patch_quantile_0.50_composition__Tumor (CK+ HR lo),-0.1262090195714486,0.1488954633699446,0.6666666666666666,15,1.0,-0.09311632731421493,0.22338181133206342,-0.7761313136458907,0.0,3000,0.29333333333333333,negative,crosses zero
BC-Jackson2020,response,1,patch_quantile_0.50_composition__Tumor (CK+ HR+),-0.2044506963882282,0.16846474649152804,0.9333333333333333,15,1.0,-0.13262258867540452,0.26605445285128626,-0.9053477601079706,0.0,3000,0.3526666666666667,negative,crosses zero
BC-Jackson2020,response,1,patch_quantile_0.50_composition__Tumor (CK7+ CK hi Ecadh hi),0.08027290446240012,0.11642647603128764,0.5333333333333333,15,0.6666666666666666,0.04425291213214415,0.2111538891371222,-0.3346921812729595,0.6101871490650428,3000,0.26166666666666666,positive,crosses zero
BC-Jackson2020,response,1,patch_quantile_0.50_composition__Tumor (CK7+),0.10530892501524759,0.34894073883112936,0.4,15,0.3333333333333333,0.23148267500711253,0.5142797793502002,-0.18966948462300345,1.793805807340959,3000,0.38266666666666665,positive,crosses zero
BC-Jackson2020,response,1,patch_quantile_0.50_composition__Tumor (Epithelial low),-0.0034325348126267243,0.012465708520216322,0.13333333333333333,15,0.0,-0.04205741008149785,0.23088164404888692,-0.7440092860448283,0.28847298732310805,3000,0.24733333333333332,negative,crosses zero
BC-Jackson2020,response,1,patch_quantile_0.50_composition__Tumor (Hypoxic),0.0,0.0,0.0,15,0.0,0.006084266471664115,0.06680886768861892,-0.019360454682187046,0.09883432251916345,3000,0.066,not selected,crosses zero
BC-Jackson2020,response,1,patch_quantile_0.50_composition__Tumor (Myoepithelial),0.08908126823203188,0.11155254593414367,0.5333333333333333,15,0.6666666666666666,0.12161701729665492,0.2437912943831703,-0.1482146367513318,0.752857826412858,3000,0.44066666666666665,positive,crosses zero
BC-Jackson2020,response,1,patch_quantile_0.50_composition__Tumor (Proliferative),-0.060321810977669574,0.0842903032179147,0.4666666666666667,15,0.3333333333333333,-0.0525863567428966,0.20514049734719858,-0.6465530283052243,0.2439812002815363,3000,0.312,negative,crosses zero
BC-Jackson2020,response,1,patch_quantile_0.50_composition__Tumor (p53+ EGFR+),-0.0034263042477811635,0.009100028187850337,0.13333333333333333,15,0.0,0.007216786849569392,0.11294970982545778,-0.23181539634353399,0.3146101832292074,3000,0.16466666666666666,negative,crosses zero
BC-Jackson2020,response,1,patch_quantile_0.75_composition__B cell,0.04134746214983439,0.12983054880688694,0.3333333333333333,15,0.0,0.060801056480029425,0.23951384226653172,-0.35857454309422354,0.713117420352869,3000,0.31933333333333336,positive,crosses zero
BC-Jackson2020,response,1,patch_quantile_0.75_composition__Endothelial,0.006665114983963127,0.025813879333446702,0.06666666666666667,15,0.0,-0.017968410381629073,0.2734958998136339,-0.6913050414230661,0.656509435398129,3000,0.2663333333333333,positive,crosses zero
BC-Jackson2020,response,1,patch_quantile_0.75_composition__Macrophage,-0.4253298200956746,0.1861892854060825,1.0,15,1.0,-0.2685536761179573,0.37483865149151696,-1.1818838417021278,0.0,3000,0.543,negative,crosses zero
BC-Jackson2020,response,1,patch_quantile_0.75_composition__Stroma (Fibronectin hi),-0.3941014268596629,0.18066990214851644,0.9333333333333333,15,1.0,-0.3269688472766803,0.40761461835500334,-1.3173245377250475,0.0,3000,0.5933333333333334,negative,crosses zero
BC-Jackson2020,response,1,patch_quantile_0.75_composition__Stroma (Large elongated),0.0,0.0,0.0,15,0.0,0.0,0.0,0.0,0.0,3000,0.0,not selected,crosses zero
BC-Jackson2020,response,1,patch_quantile_0.75_composition__Stroma (SMA hi Vimentin hi),0.00019236965447600195,0.0007450444681012306,0.06666666666666667,15,0.0,0.055100406764892085,0.23822596894815554,-0.27483181424254194,0.7426659801047781,3000,0.256,positive,crosses zero
BC-Jackson2020,response,1,patch_quantile_0.75_composition__Stroma (Small circular),0.0,0.0,0.0,15,0.0,0.04141197325492902,0.19532602924588688,-0.11298244373093276,0.6525443046805433,3000,0.17533333333333334,not selected,crosses zero
BC-Jackson2020,response,1,patch_quantile_0.75_composition__Stroma (Small elongated),0.1414058382755485,0.1385862121421319,0.7333333333333333,15,1.0,0.10853339735781752,0.2419233536447675,0.0,0.8237317089499471,3000,0.30966666666666665,positive,crosses zero
BC-Jackson2020,response,1,patch_quantile_0.75_composition__Stroma (Vimentin hi),0.0,0.0,0.0,15,0.0,-0.010785145827910566,0.08124327155162649,-0.10348812457605124,0.0,3000,0.044333333333333336,not selected,crosses zero
BC-Jackson2020,response,1,patch_quantile_0.75_composition__T & B cells,-0.030623613285024852,0.06942649776514828,0.26666666666666666,15,0.3333333333333333,-0.0681810727305259,0.3097773700543763,-0.8760133151963588,0.5230076522943793,3000,0.3333333333333333,negative,crosses zero
BC-Jackson2020,response,1,patch_quantile_0.75_composition__T cell,-0.0517706534474324,0.12288092371626015,0.4666666666666667,15,0.3333333333333333,-0.07918872346547551,0.23984965834689245,-0.8502116199134014,0.0,3000,0.242,negative,crosses zero
BC-Jackson2020,response,1,patch_quantile_0.75_composition__Tumor (Apoptotic),0.7392569521048925,0.26475820946078116,1.0,15,1.0,0.6028722528910374,0.5231961130522332,0.0,1.8172107168285054,3000,0.8116666666666666,positive,crosses zero
BC-Jackson2020,response,1,patch_quantile_0.75_composition__Tumor (Basal CK),-0.0363474403827647,0.06728992930872278,0.26666666666666666,15,0.0,-0.0607608947101236,0.2255361049426814,-0.69158098977848,0.29924193633508755,3000,0.3313333333333333,negative,crosses zero
BC-Jackson2020,response,1,patch_quantile_0.75_composition__Tumor (CK lo HR hi p53+),-0.006642939711957669,0.015529205121044607,0.2,15,0.0,-0.035000652346169336,0.10363462769065221,-0.3542401427498749,0.0,3000,0.202,negative,crosses zero
