task,seed,fold,method,rank,feature
motif_tumor_high,0,2,lasso,7,point-pattern::Other_L_r200
motif_tumor_high,0,2,lasso,8,point-pattern::Macrophage_K_r20
motif_tumor_high,0,2,lasso,9,density::tissue_density::Tumor
motif_tumor_high,0,2,lasso,10,composition::CD8 T cell
motif_tumor_high,0,2,lasso,11,point-pattern::CD4 T cell_K_r10
motif_tumor_high,0,2,lasso,12,point-pattern::APC/Dendritic cell_L_r200
motif_tumor_high,0,2,lasso,13,point-pattern::Naive immune cell_L_r200
motif_tumor_high,0,2,lasso,14,composition::Naive immune cell
motif_tumor_high,0,2,lasso,15,composition::Other
motif_tumor_high,0,2,lasso,16,composition::Vessel
motif_tumor_high,0,2,lasso,17,density::tissue_density::CD8 T cell
motif_tumor_high,0,2,lasso,18,density::tissue_density::Granulocyte
motif_tumor_high,0,2,lasso,19,density::tissue_density::Naive immune cell
motif_tumor_high,0,2,lasso,20,density::tissue_density::Macrophage
motif_tumor_high,0,2,shap,1,composition::Tumor
motif_tumor_high,0,2,shap,2,density::tumor_density::Tumor
motif_tumor_high,0,2,shap,3,composition::Tumor (Proliferating)
motif_tumor_high,0,2,shap,4,density::tissue_density::Tumor
motif_tumor_high,0,2,shap,5,composition::B cell
motif_tumor_high,0,2,shap,6,composition::CD8 T cell
motif_tumor_high,0,2,shap,7,composition::Macrophage
motif_tumor_high,0,2,shap,8,point-pattern::Tumor_L_r10
motif_tumor_high,0,2,shap,9,density::tissue_density::CD4 T cell
motif_tumor_high,0,2,shap,10,density::tissue_density::Macrophage
motif_tumor_high,0,2,shap,11,point-pattern::Tumor_L_r20
motif_tumor_high,0,2,shap,12,density::tissue_density::Tumor (Proliferating)
motif_tumor_high,0,2,shap,13,density::tissue_density::B cell
motif_tumor_high,0,2,shap,14,density::tumor_density::CD4 T cell
motif_tumor_high,0,2,shap,15,composition::Other
motif_tumor_high,0,2,shap,16,density::tumor_density::Granulocyte
motif_tumor_high,0,2,shap,17,composition::CD4 T cell
motif_tumor_high,0,2,shap,18,composition::Granulocyte
motif_tumor_high,0,2,shap,19,density::tumor_density::B cell
motif_tumor_high,0,2,shap,20,density::tumor_density::Tumor (Proliferating)
motif_tumor_high,0,3,lasso,1,composition::Tumor
motif_tumor_high,0,3,lasso,2,composition::Tumor (Proliferating)
motif_tumor_high,0,3,lasso,3,density::tissue_density::Tumor
motif_tumor_high,0,3,lasso,4,point-pattern::Vessel_L_r50
motif_tumor_high,0,3,lasso,5,composition::Macrophage
motif_tumor_high,0,3,lasso,6,point-pattern::Naive immune cell_L_r200
motif_tumor_high,0,3,lasso,7,point-pattern::Other_K_r200
motif_tumor_high,0,3,lasso,8,point-pattern::Macrophage_K_r20
motif_tumor_high,0,3,lasso,9,point-pattern::APC/Dendritic cell_L_r200
motif_tumor_high,0,3,lasso,10,composition::CD8 T cell
motif_tumor_high,0,3,lasso,11,point-pattern::CD4 T cell_K_r10
motif_tumor_high,0,3,lasso,12,point-pattern::Other_L_r200
motif_tumor_high,0,3,lasso,13,composition::B cell
motif_tumor_high,0,3,lasso,14,point-pattern::Tumor_L_r20
motif_tumor_high,0,3,lasso,15,composition::Other
motif_tumor_high,0,3,lasso,16,composition::Naive immune cell
motif_tumor_high,0,3,lasso,17,density::tissue_density::CD8 T cell
motif_tumor_high,0,3,lasso,18,density::tissue_density::Granulocyte
motif_tumor_high,0,3,lasso,19,density::tissue_density::Naive immune cell
motif_tumor_high,0,3,lasso,20,density::tissue_density::Macrophage
motif_tumor_high,0,3,shap,1,composition::Tumor
motif_tumor_high,0,3,shap,2,composition::Macrophage
motif_tumor_high,0,3,shap,3,density::tissue_density::Tumor
motif_tumor_high,0,3,shap,4,composition::CD8 T cell
motif_tumor_high,0,3,shap,5,density::tumor_density::Tumor
motif_tumor_high,0,3,shap,6,composition::Tumor (Proliferating)
motif_tumor_high,0,3,shap,7,composition::B cell
motif_tumor_high,0,3,shap,8,point-pattern::Tumor_L_r10
motif_tumor_high,0,3,shap,9,point-pattern::Tumor_L_r20
motif_tumor_high,0,3,shap,10,point-pattern::APC/Dendritic cell_L_r200
motif_tumor_high,0,3,shap,11,density::tumor_area_ratio
motif_tumor_high,0,3,shap,12,composition::Granulocyte
motif_tumor_high,0,3,shap,13,density::tissue_density::Tumor (Proliferating)
motif_tumor_high,0,3,shap,14,density::tissue_density::B cell
motif_tumor_high,0,3,shap,15,density::tissue_density::Macrophage
motif_tumor_high,0,3,shap,16,density::tissue_density::Vessel
motif_tumor_high,0,3,shap,17,point-pattern::Tumor_K_r10
motif_tumor_high,0,3,shap,18,density::tissue_density::Granulocyte
motif_tumor_high,0,3,shap,19,composition::Vessel
motif_tumor_high,0,3,shap,20,density::tissue_density::CD4 T cell
motif_tumor_high,0,4,lasso,1,composition::Tumor
motif_tumor_high,0,4,lasso,2,composition::Tumor (Proliferating)
motif_tumor_high,0,4,lasso,3,density::tissue_density::Tumor
motif_tumor_high,0,4,lasso,4,point-pattern::Naive immune cell_L_r200
motif_tumor_high,0,4,lasso,5,point-pattern::Other_L_r200
motif_tumor_high,0,4,lasso,6,composition::APC/Dendritic cell
motif_tumor_high,0,4,lasso,7,density::tissue_density::Vessel
motif_tumor_high,0,4,lasso,8,point-pattern::Vessel_L_r50
motif_tumor_high,0,4,lasso,9,point-pattern::Tumor_L_r200
motif_tumor_high,0,4,lasso,10,point-pattern::Tumor_L_r20
motif_tumor_high,0,4,lasso,11,density::tumor_density::CD4 T cell
motif_tumor_high,0,4,lasso,12,composition::Macrophage
motif_tumor_high,0,4,lasso,13,point-pattern::B cell_L_r200
motif_tumor_high,0,4,lasso,14,density::tissue_density::APC/Dendritic cell
motif_tumor_high,0,4,lasso,15,composition::Other
motif_tumor_high,0,4,lasso,16,composition::Naive immune cell
motif_tumor_high,0,4,lasso,17,density::tissue_density::CD8 T cell
motif_tumor_high,0,4,lasso,18,density::tissue_density::CD4 T cell
motif_tumor_high,0,4,lasso,19,density::tissue_density::B cell
motif_tumor_high,0,4,lasso,20,density::tissue_density::Granulocyte
motif_tumor_high,0,4,shap,1,composition::Tumor
motif_tumor_high,0,4,shap,2,composition::Tumor (Proliferating)
motif_tumor_high,0,4,shap,3,density::tissue_density::Tumor
motif_tumor_high,0,4,shap,4,density::tumor_density::Tumor
motif_tumor_high,0,4,shap,5,composition::Macrophage
motif_tumor_high,0,4,shap,6,composition::CD8 T cell
motif_tumor_high,0,4,shap,7,density::tissue_density::Tumor (Proliferating)
motif_tumor_high,0,4,shap,8,point-pattern::Tumor_L_r10
motif_tumor_high,0,4,shap,9,density::tumor_density::CD4 T cell
motif_tumor_high,0,4,shap,10,density::tumor_density::Tumor (Proliferating)
motif_tumor_high,0,4,shap,11,composition::B cell
motif_tumor_high,0,4,shap,12,composition::Granulocyte
motif_tumor_high,0,4,shap,13,density::tissue_density::CD4 T cell
motif_tumor_high,0,4,shap,14,density::tissue_density::Macrophage
motif_tumor_high,0,4,shap,15,point-pattern::Tumor_L_r20
motif_tumor_high,0,4,shap,16,density::tissue_density::B cell
motif_tumor_high,0,4,shap,17,density::tissue_density::Vessel
motif_tumor_high,0,4,shap,18,density::tumor_density::Other
motif_tumor_high,0,4,shap,19,density::tissue_density::Stroma
motif_tumor_high,0,4,shap,20,composition::Vessel
motif_tumor_high,1,0,lasso,1,composition::Tumor
motif_tumor_high,1,0,lasso,2,composition::Tumor (Proliferating)
motif_tumor_high,1,0,lasso,3,density::tissue_density::Tumor
motif_tumor_high,1,0,lasso,4,composition::Macrophage
motif_tumor_high,1,0,lasso,5,composition::CD8 T cell
motif_tumor_high,1,0,lasso,6,density::tissue_density::Vessel
motif_tumor_high,1,0,lasso,7,point-pattern::Vessel_L_r20
motif_tumor_high,1,0,lasso,8,point-pattern::APC/Dendritic cell_L_r200
motif_tumor_high,1,0,lasso,9,point-pattern::Other_L_r200
motif_tumor_high,1,0,lasso,10,point-pattern::Naive immune cell_L_r100
motif_tumor_high,1,0,lasso,11,point-pattern::Tumor_L_r200
motif_tumor_high,1,0,lasso,12,point-pattern::Vessel_L_r50
motif_tumor_high,1,0,lasso,13,composition::APC/Dendritic cell
motif_tumor_high,1,0,lasso,14,composition::Granulocyte
motif_tumor_high,1,0,lasso,15,composition::Vessel
motif_tumor_high,1,0,lasso,16,point-pattern::Tumor_L_r50
motif_tumor_high,1,0,lasso,17,density::tumor_density::Granulocyte
motif_tumor_high,1,0,lasso,18,point-pattern::Naive immune cell_L_r200
motif_tumor_high,1,0,lasso,19,density::tissue_density::B cell
motif_tumor_high,1,0,lasso,20,density::tissue_density::Granulocyte
motif_tumor_high,1,0,shap,1,composition::Tumor
motif_tumor_high,1,0,shap,2,density::tissue_density::Tumor
motif_tumor_high,1,0,shap,3,density::tumor_density::Tumor
motif_tumor_high,1,0,shap,4,composition::Tumor (Proliferating)
motif_tumor_high,1,0,shap,5,composition::CD8 T cell
motif_tumor_high,1,0,shap,6,composition::Granulocyte
motif_tumor_high,1,0,shap,7,density::tissue_density::Tumor (Proliferating)
motif_tumor_high,1,0,shap,8,point-pattern::Tumor_L_r10
motif_tumor_high,1,0,shap,9,composition::B cell
motif_tumor_high,1,0,shap,10,composition::Macrophage
motif_tumor_high,1,0,shap,11,density::tumor_density::Granulocyte
motif_tumor_high,1,0,shap,12,density::tumor_density::CD4 T cell
motif_tumor_high,1,0,shap,13,density::tissue_density::Granulocyte
motif_tumor_high,1,0,shap,14,density::tissue_density::CD4 T cell
motif_tumor_high,1,0,shap,15,point-pattern::APC/Dendritic cell_L_r200
motif_tumor_high,1,0,shap,16,density::tissue_density::Macrophage
motif_tumor_high,1,0,shap,17,point-pattern::Macrophage_L_r20
motif_tumor_high,1,0,shap,18,composition::Vessel
motif_tumor_high,1,0,shap,19,density::tumor_density::Tumor (Proliferating)
motif_tumor_high,1,0,shap,20,composition::CD4 T cell
motif_tumor_high,1,1,lasso,1,composition::Tumor
motif_tumor_high,1,1,lasso,2,composition::Tumor (Proliferating)
motif_tumor_high,1,1,lasso,3,density::tissue_density::Tumor
motif_tumor_high,1,1,lasso,4,point-pattern::Naive immune cell_L_r200
motif_tumor_high,1,1,lasso,5,point-pattern::Other_L_r200
motif_tumor_high,1,1,lasso,6,point-pattern::Vessel_L_r50
motif_tumor_high,1,1,lasso,7,density::tissue_density::Tumor (Proliferating)
motif_tumor_high,1,1,lasso,8,point-pattern::CD4 T cell_K_r10
motif_tumor_high,1,1,lasso,9,composition::Macrophage
motif_tumor_high,1,1,lasso,10,point-pattern::Tumor_L_r20
motif_tumor_high,1,1,lasso,11,composition::Stroma
motif_tumor_high,1,1,lasso,12,density::tissue_density::Vessel
motif_tumor_high,1,1,lasso,13,composition::Granulocyte
motif_tumor_high,1,1,lasso,14,point-pattern::Naive immune cell_L_r100
motif_tumor_high,1,1,lasso,15,point-pattern::Other_K_r200
motif_tumor_high,1,1,lasso,16,point-pattern::Macrophage_K_r20
motif_tumor_high,1,1,lasso,17,point-pattern::APC/Dendritic cell_L_r200
motif_tumor_high,1,1,lasso,18,density::tumor_density::Tumor (Proliferating)
motif_tumor_high,1,1,lasso,19,density::tissue_density::CD8 T cell
motif_tumor_high,1,1,lasso,20,density::tissue_density::CD4 T cell
motif_tumor_high,1,1,shap,1,composition::Tumor
motif_tumor_high,1,1,shap,2,composition::Tumor (Proliferating)
motif_tumor_high,1,1,shap,3,composition::Macrophage
motif_tumor_high,1,1,shap,4,density::tissue_density::Tumor (Proliferating)
motif_tumor_high,1,1,shap,5,density::tissue_density::Tumor
motif_tumor_high,1,1,shap,6,composition::CD8 T cell
motif_tumor_high,1,1,shap,7,density::tumor_density::Tumor
motif_tumor_high,1,1,shap,8,density::tumor_density::Tumor (Proliferating)
motif_tumor_high,1,1,shap,9,composition::B cell
motif_tumor_high,1,1,shap,10,point-pattern::Tumor_L_r10
motif_tumor_high,1,1,shap,11,density::tissue_density::Macrophage
motif_tumor_high,1,1,shap,12,composition::Granulocyte
motif_tumor_high,1,1,shap,13,point-pattern::Tumor_L_r20
motif_tumor_high,1,1,shap,14,density::tissue_density::B cell
motif_tumor_high,1,1,shap,15,composition::Other
