task,seed,fold,method,rank,feature,dataset,selected
motif_cd8_high,0,0,lasso,1,mixing::neighbor_fraction__Treg__to__CD8^+PD1^+T_{Ex},tnbc_wang2023,True
motif_cd8_high,0,0,lasso,2,mixing::local_mixing_max,tnbc_wang2023,True
motif_cd8_high,0,0,lasso,3,mixing::neighbor_fraction__M2 Mac__to__CD8^+T,tnbc_wang2023,True
motif_cd8_high,0,0,lasso,4,mixing::neighbor_fraction__CK^{hi}GATA3^{+}__to__Helios^{+},tnbc_wang2023,True
motif_cd8_high,0,0,lasso,5,mixing::neighbor_fraction__CD8^+GZMB^+T__to__CD8^+T,tnbc_wang2023,True
motif_cd8_high,0,0,lasso,6,point-pattern::CD8^+T_L_r20,tnbc_wang2023,True
motif_cd8_high,0,0,lasso,7,point-pattern::CD8^+T_L_r50,tnbc_wang2023,True
motif_cd8_high,0,0,lasso,8,point-pattern::CD8^+T_L_r10,tnbc_wang2023,True
motif_cd8_high,0,0,lasso,9,point-pattern::CD8^+T_L_r100,tnbc_wang2023,True
motif_cd8_high,0,0,lasso,10,point-pattern::CD8^+T_K_r50,tnbc_wang2023,True
motif_cd8_high,0,0,lasso,11,mixing::neighbor_fraction__DCs__to__CD8^+PD1^+T_{Ex},tnbc_wang2023,True
motif_cd8_high,0,0,lasso,12,mixing::neighbor_fraction__Treg__to__CD8^+GZMB^+T,tnbc_wang2023,True
motif_cd8_high,0,0,lasso,13,point-pattern::CD8^+T_K_r20,tnbc_wang2023,True
motif_cd8_high,0,0,lasso,14,point-pattern::CD8^+T_K_r10,tnbc_wang2023,True
motif_cd8_high,0,0,lasso,15,mixing::shannon_entropy_global,tnbc_wang2023,True
motif_cd8_high,0,0,lasso,16,point-pattern::CD8^+T_K_r100,tnbc_wang2023,True
motif_cd8_high,0,0,lasso,17,mixing::neighbor_fraction__CD4^+PD1^+T__to__CD8^+TCF1^+T,tnbc_wang2023,True
motif_cd8_high,0,0,lasso,18,mixing::neighbor_fraction__CD56^{+}NE__to__CD8^+PD1^+T_{Ex},tnbc_wang2023,True
motif_cd8_high,0,0,lasso,19,mixing::neighbor_fraction__AR^{+}LAR__to__MHC I&II^{hi},tnbc_wang2023,True
motif_cd8_high,0,0,lasso,20,mixing::neighbor_fraction__CD8^+PD1^+T_{Ex}__to__CD8^+PD1^+T_{Ex},tnbc_wang2023,True
motif_cd8_high,0,0,shap,1,mixing::neighbor_fraction__M2 Mac__to__CD8^+T,tnbc_wang2023,True
motif_cd8_high,0,0,shap,2,mixing::neighbor_fraction__CD8^+GZMB^+T__to__CD8^+T,tnbc_wang2023,True
motif_cd8_high,0,0,shap,3,mixing::neighbor_fraction__CD8^+T__to__CD8^+T,tnbc_wang2023,True
motif_cd8_high,0,0,shap,4,mixing::neighbor_fraction__Treg__to__CD8^+PD1^+T_{Ex},tnbc_wang2023,True
motif_cd8_high,0,0,shap,5,mixing::neighbor_fraction__CD8^+PD1^+T_{Ex}__to__CD8^+PD1^+T_{Ex},tnbc_wang2023,True
motif_cd8_high,0,0,shap,6,mixing::neighbor_fraction__Treg__to__CD8^+GZMB^+T,tnbc_wang2023,True
motif_cd8_high,0,0,shap,7,point-pattern::CD8^+T_L_r100,tnbc_wang2023,True
motif_cd8_high,0,0,shap,8,mixing::neighbor_fraction__PDPN^+Stromal__to__CD8^+T,tnbc_wang2023,True
motif_cd8_high,0,0,shap,9,mixing::neighbor_fraction__CD4^+PD1^+T__to__CD8^+TCF1^+T,tnbc_wang2023,True
motif_cd8_high,0,0,shap,10,mixing::neighbor_fraction__CD8^+PD1^+T_{Ex}__to__CD8^+TCF1^+T,tnbc_wang2023,True
motif_cd8_high,0,0,shap,11,mixing::neighbor_fraction__Treg__to__CD8^+T,tnbc_wang2023,True
motif_cd8_high,0,0,shap,12,mixing::shannon_entropy_global,tnbc_wang2023,True
motif_cd8_high,0,0,shap,13,point-pattern::CD8^+T_L_r20,tnbc_wang2023,True
motif_cd8_high,0,0,shap,14,composition::CD8^+T,tnbc_wang2023,True
motif_cd8_high,0,0,shap,15,mixing::neighbor_fraction__PD-L1^+APCs__to__CD8^+GZMB^+T,tnbc_wang2023,True
motif_cd8_high,0,0,shap,16,mixing::neighbor_fraction__DCs__to__CD8^+PD1^+T_{Ex},tnbc_wang2023,True
motif_cd8_high,0,0,shap,17,mixing::neighbor_fraction__pH2AX^{+}DSB__to__CD8^+T,tnbc_wang2023,True
motif_cd8_high,0,0,shap,18,mixing::neighbor_fraction__M2 Mac__to__Treg,tnbc_wang2023,True
motif_cd8_high,0,0,shap,19,mixing::neighbor_fraction__PD-L1^+IDO^+APCs__to__CD8^+GZMB^+T,tnbc_wang2023,True
motif_cd8_high,0,0,shap,20,point-pattern::CD8^+T_L_r10,tnbc_wang2023,True
motif_cd8_high,0,1,lasso,1,mixing::local_mixing_max,tnbc_wang2023,True
motif_cd8_high,0,1,lasso,2,mixing::neighbor_fraction__CK^{hi}GATA3^{+}__to__Helios^{+},tnbc_wang2023,True
motif_cd8_high,0,1,lasso,3,mixing::neighbor_fraction__PD-L1^{+}GZMB^{+}__to__CD8^+PD1^+T_{Ex},tnbc_wang2023,True
motif_cd8_high,0,1,lasso,4,mixing::shannon_entropy_global,tnbc_wang2023,True
motif_cd8_high,0,1,lasso,5,mixing::neighbor_fraction__CD4^+PD1^+T__to__CD8^+TCF1^+T,tnbc_wang2023,True
motif_cd8_high,0,1,lasso,6,mixing::neighbor_fraction__pH2AX^{+}DSB__to__CD8^+T,tnbc_wang2023,True
motif_cd8_high,0,1,lasso,7,mixing::neighbor_fraction__Treg__to__CD8^+GZMB^+T,tnbc_wang2023,True
motif_cd8_high,0,1,lasso,8,mixing::neighbor_fraction__Fibroblasts__to__CD8^+GZMB^+T,tnbc_wang2023,True
motif_cd8_high,0,1,lasso,9,mixing::neighbor_fraction__Treg__to__CD8^+PD1^+T_{Ex},tnbc_wang2023,True
motif_cd8_high,0,1,lasso,10,mixing::neighbor_fraction__CD8^+GZMB^+T__to__CD8^+PD1^+T_{Ex},tnbc_wang2023,True
motif_cd8_high,0,1,lasso,11,mixing::shannon_entropy_normalized,tnbc_wang2023,True
motif_cd8_high,0,1,lasso,12,point-pattern::CD8^+T_L_r100,tnbc_wang2023,True
motif_cd8_high,0,1,lasso,13,mixing::neighbor_fraction__CD8^+TCF1^+T__to__Treg,tnbc_wang2023,True
motif_cd8_high,0,1,lasso,14,point-pattern::CD8^+T_L_r50,tnbc_wang2023,True
motif_cd8_high,0,1,lasso,15,mixing::neighbor_fraction__CD8^+GZMB^+T__to__CD8^+T,tnbc_wang2023,True
motif_cd8_high,0,1,lasso,16,point-pattern::CD8^+T_L_r20,tnbc_wang2023,True
motif_cd8_high,0,1,lasso,17,point-pattern::CD8^+T_K_r50,tnbc_wang2023,True
motif_cd8_high,0,1,lasso,18,mixing::neighbor_fraction__TCF1^{+}__to__CD79a^+Plasma,tnbc_wang2023,True
motif_cd8_high,0,1,lasso,19,mixing::neighbor_fraction__CD8^+PD1^+T_{Ex}__to__CD8^+PD1^+T_{Ex},tnbc_wang2023,True
motif_cd8_high,0,1,lasso,20,point-pattern::CD8^+T_K_r100,tnbc_wang2023,True
motif_cd8_high,0,1,shap,1,mixing::neighbor_fraction__pH2AX^{+}DSB__to__CD8^+T,tnbc_wang2023,True
motif_cd8_high,0,1,shap,2,mixing::shannon_entropy_global,tnbc_wang2023,True
motif_cd8_high,0,1,shap,3,mixing::neighbor_fraction__M2 Mac__to__CD8^+T,tnbc_wang2023,True
motif_cd8_high,0,1,shap,4,mixing::neighbor_fraction__Fibroblasts__to__CD8^+GZMB^+T,tnbc_wang2023,True
motif_cd8_high,0,1,shap,5,mixing::neighbor_fraction__CD4^+PD1^+T__to__CD8^+T,tnbc_wang2023,True
motif_cd8_high,0,1,shap,6,mixing::neighbor_fraction__CD8^+GZMB^+T__to__CD8^+PD1^+T_{Ex},tnbc_wang2023,True
motif_cd8_high,0,1,shap,7,mixing::local_mixing_max,tnbc_wang2023,True
motif_cd8_high,0,1,shap,8,point-pattern::CD8^+T_L_r20,tnbc_wang2023,True
motif_cd8_high,0,1,shap,9,point-pattern::CD8^+T_L_r50,tnbc_wang2023,True
motif_cd8_high,0,1,shap,10,point-pattern::CD8^+T_L_r100,tnbc_wang2023,True
motif_cd8_high,0,1,shap,11,mixing::neighbor_fraction__CD8^+GZMB^+T__to__CD8^+T,tnbc_wang2023,True
motif_cd8_high,0,1,shap,12,mixing::shannon_entropy_normalized,tnbc_wang2023,True
motif_cd8_high,0,1,shap,13,mixing::neighbor_fraction__Treg__to__CD8^+GZMB^+T,tnbc_wang2023,True
motif_cd8_high,0,1,shap,14,mixing::neighbor_fraction__CD8^+TCF1^+T__to__Treg,tnbc_wang2023,True
motif_cd8_high,0,1,shap,15,mixing::neighbor_fraction__CD8^+PD1^+T_{Ex}__to__CD8^+PD1^+T_{Ex},tnbc_wang2023,True
motif_cd8_high,0,1,shap,16,point-pattern::CD8^+T_L_r10,tnbc_wang2023,True
motif_cd8_high,0,1,shap,17,mixing::neighbor_fraction__M2 Mac__to__Treg,tnbc_wang2023,True
motif_cd8_high,0,1,shap,18,mixing::neighbor_fraction__CD4^+PD1^+T__to__CD8^+TCF1^+T,tnbc_wang2023,True
motif_cd8_high,0,1,shap,19,mixing::neighbor_fraction__CD4^+TCF1^+T__to__CD8^+GZMB^+T,tnbc_wang2023,True
motif_cd8_high,0,1,shap,20,mixing::neighbor_fraction__CD8^+T__to__CD8^+GZMB^+T,tnbc_wang2023,True
motif_cd8_high,0,2,lasso,1,point-pattern::CD8^+T_L_r50,tnbc_wang2023,True
motif_cd8_high,0,2,lasso,2,point-pattern::CD8^+T_L_r20,tnbc_wang2023,True
motif_cd8_high,0,2,lasso,3,mixing::neighbor_fraction__pH2AX^{+}DSB__to__CD8^+T,tnbc_wang2023,True
motif_cd8_high,0,2,lasso,4,point-pattern::CD8^+T_L_r10,tnbc_wang2023,True
motif_cd8_high,0,2,lasso,5,point-pattern::CD8^+T_L_r100,tnbc_wang2023,True
motif_cd8_high,0,2,lasso,6,mixing::neighbor_fraction__CD56^{+}NE__to__CD8^+PD1^+T_{Ex},tnbc_wang2023,True
motif_cd8_high,0,2,lasso,7,mixing::shannon_entropy_global,tnbc_wang2023,True
motif_cd8_high,0,2,lasso,8,mixing::neighbor_fraction__CK^{hi}GATA3^{+}__to__Helios^{+},tnbc_wang2023,True
motif_cd8_high,0,2,lasso,9,point-pattern::CD8^+T_K_r50,tnbc_wang2023,True
motif_cd8_high,0,2,lasso,10,mixing::neighbor_fraction__CD15^{+}__to__M2 Mac,tnbc_wang2023,True
motif_cd8_high,0,2,lasso,11,mixing::shannon_entropy_normalized,tnbc_wang2023,True
motif_cd8_high,0,2,lasso,12,point-pattern::CD8^+T_K_r100,tnbc_wang2023,True
motif_cd8_high,0,2,lasso,13,mixing::neighbor_fraction__CD56^+NK__to__Treg,tnbc_wang2023,True
motif_cd8_high,0,2,lasso,14,point-pattern::CD8^+T_K_r10,tnbc_wang2023,True
motif_cd8_high,0,2,lasso,15,point-pattern::CD8^+T_K_r20,tnbc_wang2023,True
motif_cd8_high,0,2,lasso,16,mixing::neighbor_fraction__CD4^+PD1^+T__to__CD8^+T,tnbc_wang2023,True
motif_cd8_high,0,2,lasso,17,mixing::neighbor_fraction__PD-L1^{+}GZMB^{+}__to__CD8^+PD1^+T_{Ex},tnbc_wang2023,True
motif_cd8_high,0,2,lasso,18,mixing::local_mixing_max,tnbc_wang2023,True
motif_cd8_high,0,2,lasso,19,mixing::neighbor_fraction__M2 Mac__to__CD8^+T,tnbc_wang2023,True
motif_cd8_high,0,2,lasso,20,mixing::neighbor_fraction__CD8^+PD1^+T_{Ex}__to__CD8^+TCF1^+T,tnbc_wang2023,True
motif_cd8_high,0,2,shap,1,mixing::neighbor_fraction__CD8^+PD1^+T_{Ex}__to__CD8^+TCF1^+T,tnbc_wang2023,True
motif_cd8_high,0,2,shap,2,mixing::neighbor_fraction__CD8^+PD1^+T_{Ex}__to__CD8^+PD1^+T_{Ex},tnbc_wang2023,True
motif_cd8_high,0,2,shap,3,mixing::neighbor_fraction__CD8^+GZMB^+T__to__CD8^+PD1^+T_{Ex},tnbc_wang2023,True
motif_cd8_high,0,2,shap,4,mixing::shannon_entropy_global,tnbc_wang2023,True
motif_cd8_high,0,2,shap,5,mixing::neighbor_fraction__M2 Mac__to__Treg,tnbc_wang2023,True
motif_cd8_high,0,2,shap,6,mixing::shannon_entropy_normalized,tnbc_wang2023,True
motif_cd8_high,0,2,shap,7,point-pattern::CD8^+T_L_r50,tnbc_wang2023,True
motif_cd8_high,0,2,shap,8,point-pattern::CD8^+T_L_r20,tnbc_wang2023,True
motif_cd8_high,0,2,shap,9,point-pattern::CD8^+T_L_r100,tnbc_wang2023,True
motif_cd8_high,0,2,shap,10,mixing::neighbor_fraction__CD56^+NK__to__Treg,tnbc_wang2023,True
motif_cd8_high,0,2,shap,11,mixing::neighbor_fraction__Myofibroblasts__to__Fibroblasts,tnbc_wang2023,True
motif_cd8_high,0,2,shap,12,point-pattern::CD8^+T_L_r10,tnbc_wang2023,True
motif_cd8_high,0,2,shap,13,mixing::neighbor_fraction__pH2AX^{+}DSB__to__CD8^+T,tnbc_wang2023,True
motif_cd8_high,0,2,shap,14,mixing::neighbor_fraction__CD4^+PD1^+T__to__CD8^+T,tnbc_wang2023,True
motif_cd8_high,0,2,shap,15,mixing::neighbor_fraction__DCs__to__Treg,tnbc_wang2023,True
motif_cd8_high,0,2,shap,16,mixing::neighbor_fraction__CD8^+TCF1^+T__to__CD8^+PD1^+T_{Ex},tnbc_wang2023,True
motif_cd8_high,0,2,shap,17,mixing::neighbor_fraction__CD15^{+}__to__M2 Mac,tnbc_wang2023,True
motif_cd8_high,0,2,shap,18,mixing::neighbor_fraction__M2 Mac__to__CD8^+T,tnbc_wang2023,True
motif_cd8_high,0,2,shap,19,mixing::neighbor_fraction__CD79a^+Plasma__to__CD8^+GZMB^+T,tnbc_wang2023,True
motif_cd8_high,0,2,shap,20,mixing::neighbor_fraction__Treg__to__CD8^+PD1^+T_{Ex},tnbc_wang2023,True
motif_cd8_high,0,3,lasso,1,mixing::local_mixing_max,tnbc_wang2023,True
motif_cd8_high,0,3,lasso,2,mixing::shannon_entropy_global,tnbc_wang2023,True
